"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2022-05-01,2025-05-30,"Reach - All Shows","Audience Network","Native, banner & interstitial",In-app,"Android Smartphone",inactive,0.250019,,,,,,5,Daily,154,1.623499,0,0,0,,0,"7-day click or 1-day view",,,,,45,149,149,149,146,69,105,5,158,,,,,,,,,,,,0,96.753247,0.005556,0.001678,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows","Audience Network","Native, banner & interstitial",In-app,iPhone,inactive,0.050004,,,,,,5,Daily,56,0.892924,56,1,0,,0,"7-day click or 1-day view",56,reach,0.89292436,,32,51,55,51,51,38,43,5,58,,,,,,,,,,,,0,91.071429,0.001563,0.00098,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,11.000828,,,,,,5,Daily,7948,1.3841,5505,1.443778,0.050327,,2.750207,"7-day click or 1-day view",5505,reach,1.9983339,,77,289,1609,292,114,80,75,1,5731,,,,,,,,,,,,0,3.636135,0.142868,0.038065,,,0,,,,,2.750207,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Facebook Reels",In-app,"Android Tablet",inactive,0.110008,,,,,,5,Daily,58,1.896695,58,1,0,,0,"7-day click or 1-day view",58,reach,1.89669451,,,1,15,1,,,,1,40,,,,,,,,,,,,0,1.724138,,0.110008,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Facebook Reels",In-app,iPhone,inactive,20.531546,,,,,,5,Daily,14461,1.419787,7809,1.851838,0.020745,1,6.843849,"7-day click or 1-day view",7809,reach,2.62921573,,107,422,2322,422,181,111,104,1,10204,,1,0.006915,,,,,,,,,0,2.918194,0.191884,0.048653,1,1,0.012806,0.006915,0.012806,20.531546,20.531546,10.265773,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Facebook Reels",In-app,iPod,inactive,0,,,,,,5,Daily,3,0,0,0,0,,0,"7-day click or 1-day view",,,,,,1,1,1,,,,2,2,,,,,,,,,,,,0,33.333333,,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Facebook Stories",In-app,"Android Smartphone",inactive,1.410106,,,,,,5,Daily,829,1.700972,320,2.590625,0,,0,"7-day click or 1-day view",320,reach,4.40658173,,3,4,15,4,3,3,3,0,294,,,,,,,,,,,,0,0.482509,0.470035,0.352527,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Facebook Stories",In-app,iPad,inactive,0.150011,,,,,,5,Daily,79,1.898877,0,0,0,,0,"7-day click or 1-day view",,,,,3,3,8,3,3,3,3,0,79,,,,,,,,,,,,0,3.797468,0.050004,0.050004,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Facebook Stories",In-app,iPhone,inactive,8.150614,,,,,,5,Daily,4725,1.724998,3072,1.538086,0.021164,1,8.150614,"7-day click or 1-day view",3072,reach,2.65319453,,26,44,93,44,30,27,26,0,1907,,1,0.021164,,,,,,,,,0,0.931217,0.313485,0.185241,1,1,0.032552,0.021164,0.032552,8.150614,8.150614,8.150614,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,Feed,Desktop,Desktop,inactive,1.530115,,,,,,5,Daily,930,1.645285,384,2.421875,0.322581,,0.510038,"7-day click or 1-day view",384,reach,3.98467497,,10,27,52,27,14,17,16,2,173,,,,,,,,,,,,0,2.903226,0.153012,0.056671,,,0,,,,,0.765058,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
