Reporting starts,Reporting ends,Campaign name,Campaign Delivery,Amount spent (AUD),Website purchases,Cost per purchase (AUD),Purchase ROAS (return on ad spend),Purchases conversion value,Website purchases conversion value,Ad set budget,Ad set budget type,Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,CTR (all),Link clicks,CPC (all) (AUD),Attribution setting,Results,Result indicator,Cost per results,Meta purchases,ThruPlays,3-second video plays,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video average play time,Video plays,profile_visit_view,Unique link clicks,CTR (link click-through rate),Landing page views,Adds to cart,Website adds to cart,Adds of payment info,Website adds of payment info,Checkouts Initiated,Website checkouts initiated,Website purchase ROAS (return on ad spend),Views,3-second video plays rate per impressions,Cost per ThruPlay (AUD),Cost per 3-second video play (AUD),Unique outbound clicks,Outbound clicks,Unique CTR (link click-through rate),Outbound CTR (click-through rate),Unique outbound CTR (click-through rate),Cost per unique outbound click (AUD),Cost per unique link click (AUD),Cost per unique click (all) (AUD),Adds of payment info conversion value,In-app adds of payment info conversion value,Website adds of payment info conversion value,Offline adds of payment info conversion value,Adds to cart conversion value,In-app adds to cart conversion value,Website adds to cart conversion value,Offline adds to cart conversion value,Cost per add of payment info (AUD),Cost per add to cart (AUD),Checkouts initiated conversion value,In-app checkouts initiated conversion value,Website checkouts initiated conversion value,Offline checkouts initiated conversion value,Cost per checkout initiated (AUD),Content views,In-app content views,Website content views,Offline content views,Meta content views,Content views conversion value,In-app content views conversion value,Website content views conversion value,Offline content views conversion value,Cost per content view (AUD),Cost per landing page view (AUD),Orders created,Date created,Date last edited,Objective
25/05/2025,31/05/2025,Jarred Fell Conversion 2%,inactive,0,,,,,,100,Lifetime,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/05/2023,16/02/2025,Sales
25/05/2025,31/05/2025,RORY LOWE TOUR - Traffic,active,164.53,,,,,,Using ad set budget,0,27354,6.014842,18533,1.475962,10.174015,2353,0.05912,7-day click or 1-day view,1949,actions:landing_page_view,0.08441765,,4321,9594,5079,3956,3160,2726,2517,10,23766,,2114,8.602033,1949,,,,,,,,27777,35.073481,0.038077,0.017149,2096,2353,11.40668,8.602033,11.309556,0.078497,0.077829,0.069834,,,,,,,,,,,,,,,,1327,,1327,,,,,,,0.123986,0.084418,,25/04/2025,25/05/2025,Traffic
25/05/2025,31/05/2025,Day Of Boost 1% LL Traffic,inactive,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/05/2023,29/05/2023,Sales
25/05/2025,31/05/2025,RORY LOWE TOUR - SALES,not_delivering,221.19,1,221.19,0.158235,35,35,Using ad set budget,0,19329,11.443427,11464,1.686061,1.339956,109,0.854015,Multiple attribution settings,1,actions:offsite_conversion.fb_pixel_purchase,221.19,,,,,,,,,0:00:00,,,106,0.56392,69,,,,,,,0.158235,19400,,,,106,109,0.924634,0.56392,0.924634,2.086698,2.086698,0.983067,,,,,,,,,,,,,,,,2,,2,,,,,,,110.595,3.205652,,25/04/2025,5/05/2025,Sales
25/05/2025,31/05/2025,Traffic 1%Lookalike - All Shows May23,inactive,0,,,,,,7.55,Daily,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/05/2023,25/05/2023,Traffic
25/05/2025,31/05/2025,MELB: Retargetting - BOTF + RORY,completed,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/04/2025,22/04/2025,Sales
25/05/2025,31/05/2025,Retargetting - All Shows May23,inactive,0,,,,,,15,Daily,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/05/2023,12/10/2023,Sales
25/05/2025,31/05/2025,MELB: Retargetting - All Shows 270325,inactive,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/04/2025,16/04/2025,Sales
25/05/2025,31/05/2025,Gerry Melb 23 - Reach,inactive,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2023,23/04/2023,Engagement
25/05/2025,31/05/2025,Retargetting - Roast Battle Sydney,completed,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/03/2025,22/04/2025,Sales
25/05/2025,31/05/2025,Gerry Melb 23 - Traffic,inactive,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/04/2023,23/04/2023,Traffic
25/05/2025,31/05/2025,Traffic - All Shows 14 Feb 25,active,153.23,1,153.23,0.152712,23.4,23.4,Using ad set budget,0,14378,10.657254,11320,1.270141,4.590346,444,0.232167,7-day click or 1-day view,46,actions:landing_page_view,3.33108696,,302,2465,1392,604,346,219,202,2,11495,,425,3.088051,46,,,,,1,1,0.152712,21532,17.144248,0.507384,0.062162,422,444,3.754417,3.088051,3.727915,0.363104,0.360541,0.261932,,,,,,,,,,,23.4,,23.4,,153.23,25,,25,,,,,,,6.1292,3.331087,,14/02/2025,7/05/2025,Traffic
25/05/2025,31/05/2025,Steph Link Click Campaign,inactive,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/03/2023,4/04/2023,Traffic
25/05/2025,31/05/2025,Gocsy Tour,inactive,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/11/2024,16/02/2025,Sales
25/05/2025,31/05/2025,Steph Video Views Awareness,inactive,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/03/2023,16/02/2025,Awareness
25/05/2025,31/05/2025,Retargetting - Arcade OCT24,inactive,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/10/2024,16/02/2025,Sales
25/05/2025,31/05/2025,Event: Dark Jokes Night (Halloween),inactive,0,,,,,,20,Lifetime,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/2022,16/02/2025,CONVERSIONS
25/05/2025,31/05/2025,Retargetting - All Shows 14 Feb 25,inactive,0,,,,,,Using ad set budget,0,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/02/2025,8/05/2025,Sales
25/05/2025,31/05/2025,Reach - All Shows – Weekly Blitz,inactive,0,,,,,,850,Lifetime,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/07/2022,16/02/2025,Reach
25/05/2025,31/05/2025,Retargeting - David Rose Aug 18th 24,inactive,0,,,,,,100,Lifetime,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/08/2024,16/02/2025,Sales
25/05/2025,31/05/2025,Event: Harry's Comedy - Mondays,inactive,0,,,,,,10,Lifetime,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/07/2022,16/02/2025,CONVERSIONS
25/05/2025,31/05/2025,Retargeting - July 24 - GoodChat + Steph,inactive,0,,,,,,300,Lifetime,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/07/2024,16/02/2025,Sales
25/05/2025,31/05/2025,"Post: ""You're in for an absolute treat if you're coming...""",inactive,0,,,,,,10,Lifetime,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/06/2022,22/06/2022,Traffic
25/05/2025,31/05/2025,Retargetting - WEEKLY SHOWS,inactive,0,,,,,,25,Daily,0,0,0,0,0,,0,-,,,,,,,,,,,,0:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14/07/2024,16/02/2025,Sales
