"Reporting starts","Reporting ends","Campaign name",Platform,"Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2022-05-01,2025-05-30,"RORY LOWE TOUR - Traffic",Facebook,active,1006.486251,,,,,,"Using ad set budget",0,167403,6.012355,75324,2.222439,10.172458,14671,0.059104,"7-day click or 1-day view",,,,,26836,58110,26904,19416,15781,13316,12396,12,138078,,10960,8.763881,,,,,,,,,168749,34.71264,0.037505,0.01732,10336,14671,14.550475,8.763881,13.722054,0.097377,0.091833,0.084408,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-25,2025-05-25,Traffic
2022-05-01,2025-05-30,"Jarred Fell Conversion 2%",Facebook,inactive,74.19,,,,,,100,Lifetime,4563,16.25904,2326,1.961737,2.060048,53,0.789255,"7-day click or 1-day view",,,,,150,600,239,146,119,105,90,7,1368,,46,1.161517,,,,,,,,,0,13.149244,0.4946,0.12365,45,52,1.977644,1.139601,1.934652,1.648667,1.612826,0.939114,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-16,2025-02-16,Sales
2022-05-01,2025-05-30,"Rory Sydney Event Response Ads",Facebook,inactive,20.76,,,,,,"Using ad set budget",0,2287,9.077394,1490,1.534899,9.838216,11,0.092267,"7-day click or 1-day view",17,actions:rsvp,1.22117647,,515,959,515,345,263,225,216,15,1920,,11,0.480979,,,,,,,,,2459,41.932663,0.040311,0.021648,,,0.738255,,,,1.887273,0.114696,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-02,2025-05-06,Engagement
2022-05-01,2025-05-30,"LPviews 1%Lookalike - All Shows May23",Facebook,inactive,1128.035163,,,,,,10,Daily,129004,8.744187,38362,3.362807,3.037115,3594,0.287911,"7-day click or 1-day view",,,,,1563,4943,3750,2147,1641,316,301,5,11058,,2736,2.78596,,,,,,,,,0,3.831664,0.721712,0.228209,2757,3594,7.132058,2.78596,7.186799,0.409153,0.412294,0.390729,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-25,2023-10-03,Traffic
2022-05-01,2025-05-30,"RORY: Canberra Sales Campaign",Facebook,active,93.48,,,,,,750,Lifetime,6932,13.485286,4132,1.677638,4.731679,147,0.285,"7-day click, 1-day view, or 1-day engaged-view",,,,,525,1923,1046,503,318,235,193,6,5605,,118,2.1206,,,,,,,,,7001,27.740912,0.178057,0.048612,118,147,2.85576,2.1206,2.85576,0.792203,0.792203,0.376935,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-27,2025-05-28,Sales
2022-05-01,2025-05-30,"LPviews 1%Lookalike - Carousel",Facebook,inactive,45.65,,,,,,50,Lifetime,4484,10.180642,3525,1.272057,2.297056,48,0.443204,"7-day click or 1-day view",,,,,117,690,474,206,125,34,30,3,2243,,45,1.070473,,,,,,,,,0,15.388046,0.390171,0.066159,45,48,1.276596,1.070473,1.276596,1.014444,1.014444,0.501648,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-25,2025-02-16,Traffic
2022-05-01,2025-05-30,"RORY: Brisbane Sales Campaign",Facebook,recently_completed,207.42,,,,,,500,Lifetime,15074,13.760117,8372,1.800526,4.477909,338,0.307289,"7-day click, 1-day view, or 1-day engaged-view",,,,,2188,4873,2442,1681,1221,1015,940,10,13315,,273,2.242271,,,,,,,,,15104,32.327186,0.094799,0.042565,268,338,3.26087,2.242271,3.201147,0.773955,0.75978,0.419879,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-27,2025-05-27,Sales
2022-05-01,2025-05-30,"Retargetting - Carousel Launch",Facebook,inactive,62.087582,,,,,,100,Lifetime,2953,21.025257,815,3.623313,1.422282,10,1.478276,"1-day click or 1-day view",,,,,34,300,215,71,50,28,27,2,2099,,10,0.338639,,,,,,,,,0,10.15916,1.826105,0.206959,10,10,1.226994,0.338639,1.226994,6.208758,6.208758,1.678043,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-25,2025-02-16,Sales
2022-05-01,2025-05-30,"Oct23 LPviews 1%Lookalike - All Shows",Instagram,inactive,723.41,,,,,,"Using ad set budget",0,88426,8.180965,50184,1.762036,4.388981,3212,0.186398,"7-day click or 1-day view",,,,,76,230,356,175,105,78,76,4,615,,2768,3.632416,,,,,,,,,46917,0.260104,9.518553,3.145261,2792,3212,5.515702,3.632416,5.563526,0.259101,0.261348,0.233962,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-29,2025-02-14,Traffic
2022-05-01,2025-05-30,"Retargetting - All Shows",Instagram,inactive,936.006087,,,,,,7,Daily,78058,11.991162,32465,2.404374,0.905737,298,1.323912,"Multiple attribution settings",,,,,4122,8837,19533,8874,5549,4248,4148,2,58132,,278,0.381767,,,,,,,,,0,11.321069,0.227076,0.105919,270,297,0.856307,0.380486,0.831665,3.466689,3.366928,1.578425,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-18,2025-02-16,CONVERSIONS
2022-05-01,2025-05-30,"Retargetting - All Shows OCT23",Instagram,inactive,7506.44246,,,,,,"Using ad set budget",0,715445,10.491991,162909,4.391685,1.283257,5637,0.817606,"1-day click, 1-day view, or 1-day engaged-view",,,,,5114,15390,29239,11421,6800,4981,4844,2,102981,,5060,0.787901,,,,,,,,,165710,2.151109,1.467822,0.487748,4924,5619,3.106029,0.785385,3.022546,1.52446,1.483487,1.060382,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-04,2025-02-14,Sales
2022-05-01,2025-05-30,"Post: ""We have some incredible suprises for you this...""",Instagram,inactive,7.09,,,,,,10,Lifetime,421,16.840855,415,1.014458,0,,0,"7-day click or 1-day view",23,actions:post_engagement,0.30826087,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-17,2025-02-16,Engagement
2022-05-01,2025-05-30,"MICF: Sydney Showcase 070424",Instagram,inactive,71.572842,,,,,,"Using ad set budget",0,8129,8.804631,6391,1.271945,0.196826,8,4.473303,"1-day click, 1-day view, or 1-day engaged-view",,,,,125,1171,887,337,181,129,125,2,7061,,8,0.098413,,,,,,,,,0,14.405216,0.572583,0.061121,8,8,0.125176,0.098413,0.125176,8.946605,8.946605,4.771523,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-06,2025-02-16,Sales
