"Reporting starts","Reporting ends","Campaign name","Audience segments","Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2024-12-05,2024-12-05,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,9.1,,,,,,"Using ad set budget",0,1113,8.176101,1110,1.002703,0,66,0,"7-day click or 1-day view",57,actions:landing_page_view,0.15964912,,,,,,,,,00:00:00,,,,5.929919,57,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.159649,,2023-09-29,2025-02-14,Traffic
2024-12-04,2024-12-04,"Gocsy Tour",prospecting,inactive,6.46,,,,,,"Using ad set budget",0,453,14.260486,379,1.195251,0,1,0,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_view_content,6.46,,,,,,,,,00:00:00,,,,0.220751,,,,1,1,,,,0,,,,,,0,,,,,0,,,,,,,,,6.46,,,,,,,1,,1,,,,,,,6.46,,,2024-11-29,2025-02-16,Sales
2024-12-04,2024-12-04,"Gocsy Tour",existing,inactive,5.92,,,,,,"Using ad set budget",0,244,24.262295,125,1.952,0,2,0,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_view_content,5.92,,,,,,,,,00:00:00,,,,0.819672,1,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,1,,1,,,,,,,5.92,5.92,,2024-11-29,2025-02-16,Sales
2024-12-04,2024-12-04,"Retargetting - All Shows OCT23",prospecting,inactive,12.22,2,6.11,8.837971,108,108,"Using ad set budget",0,1045,11.69378,934,1.118844,0,15,0,"1-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_purchase,6.11,,,29,,,,,,00:00:00,,,,1.435407,10,1,1,1,1,1,1,8.837971,0,2.77512,,0.421379,,,0,,,,,0,,,,,25,,25,,12.22,12.22,54,,54,,12.22,,,,,,,,,,,1.222,,2023-10-04,2025-02-14,Sales
2024-12-04,2024-12-04,"Retargetting - All Shows OCT23",existing,inactive,10.89,2,5.445,8.997245,97.98,97.98,"Using ad set budget",0,442,24.638009,238,1.857143,0,5,0,"1-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_purchase,5.445,,,25,,,,,,00:00:00,,,,1.131222,,3,3,2,2,2,2,8.997245,0,5.656109,,0.4356,,,0,,,,,0,,,,,77.99,,77.99,,5.445,3.63,97.98,,97.98,,5.445,1,,1,,,,,,,10.89,,,2023-10-04,2025-02-14,Sales
2024-12-04,2024-12-04,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,9.26,,,,,,"Using ad set budget",0,1338,6.920777,1279,1.04613,0,48,0,"7-day click or 1-day view",38,actions:landing_page_view,0.24368421,,,7,,,,,,00:00:00,,,,3.587444,38,,,,,,,,0,0.523169,,1.322857,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.243684,,2023-09-29,2025-02-14,Traffic
2024-12-03,2024-12-03,"Gocsy Tour",prospecting,inactive,6.55,,,,,,"Using ad set budget",0,450,14.555556,397,1.133501,0,1,0,"7-day click or 1-day view",,,,,,7,,,,,,00:00:00,,,,0.222222,,,,,,,,,0,1.555556,,0.935714,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29,2025-02-16,Sales
2024-12-03,2024-12-03,"Gocsy Tour",existing,inactive,1.68,,,,,,"Using ad set budget",0,88,19.090909,63,1.396825,0,1,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,1.136364,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29,2025-02-16,Sales
2024-12-03,2024-12-03,"Retargetting - All Shows OCT23",prospecting,inactive,12.97,,,,,,"Using ad set budget",0,1088,11.920956,932,1.167382,0,16,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,42,,,,,,00:00:00,,,,1.470588,12,,,,,,,,0,3.860294,,0.30881,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.080833,,2023-10-04,2025-02-14,Sales
2024-12-03,2024-12-03,"Retargetting - All Shows OCT23",existing,inactive,13.65,,,,,,"Using ad set budget",0,472,28.919492,224,2.107143,0,2,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,20,,,,,,00:00:00,,,,0.423729,2,,,,,1,1,,0,4.237288,,0.6825,,,0,,,,,0,,,,,,,,,,,32,,32,,13.65,,,,,,,,,,,6.825,,2023-10-04,2025-02-14,Sales
2024-12-03,2024-12-03,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,10.17,,,,,,"Using ad set budget",0,1394,7.295552,1352,1.031065,0,46,0,"7-day click or 1-day view",32,actions:landing_page_view,0.3178125,,,,,,,,,00:00:00,,,,3.299857,32,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.317813,,2023-09-29,2025-02-14,Traffic
2024-12-02,2024-12-02,"Gocsy Tour",prospecting,inactive,9.99,,,,,,"Using ad set budget",0,721,13.855756,612,1.178105,0,5,0,"7-day click or 1-day view",,,,,,20,,,,,,00:00:00,,,,0.693481,,,,,,,,,0,2.773925,,0.4995,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29,2025-02-16,Sales
2024-12-02,2024-12-02,"Gocsy Tour",existing,inactive,1.03,,,,,,"Using ad set budget",0,57,18.070175,38,1.5,0,1,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,1.754386,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29,2025-02-16,Sales
2024-12-02,2024-12-02,"Retargetting - All Shows OCT23",prospecting,inactive,13.89,1,13.89,,,,"Using ad set budget",0,980,14.173469,763,1.284404,0,18,0,"1-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,13.89,,,33,,,,,,00:00:00,,,,1.836735,13,1,1,,,1,1,,0,3.367347,,0.420909,,,0,,,,,0,,,,,20,,20,,,13.89,,,,,13.89,,,,,,,,,,,1.068462,,2023-10-04,2025-02-14,Sales
2024-12-02,2024-12-02,"Retargetting - All Shows OCT23",existing,inactive,13.8,3,4.6,10.869565,150,150,"Using ad set budget",0,425,32.470588,209,2.033493,0,2,0,"1-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.fb_pixel_purchase,4.6,,,20,,,,,,00:00:00,,,,0.470588,2,3,3,1,1,3,3,10.869565,0,4.705882,,0.69,,,0,,,,,0,,,,,68,,68,,13.8,4.6,194,,194,,4.6,,,,,,,,,,,6.9,,2023-10-04,2025-02-14,Sales
2024-12-02,2024-12-02,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,10.47,,,,,,"Using ad set budget",0,1349,7.761305,1292,1.044118,0,37,0,"7-day click or 1-day view",31,actions:landing_page_view,0.33774194,,,,,,,,,00:00:00,,,,2.742772,31,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.337742,,2023-09-29,2025-02-14,Traffic
2024-12-01,2024-12-01,"Gocsy Tour",prospecting,inactive,1.49,,,,,,"Using ad set budget",0,112,13.303571,104,1.076923,0,1,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,0.892857,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29,2025-02-16,Sales
2024-12-01,2024-12-01,"Gocsy Tour",existing,inactive,0.21,,,,,,"Using ad set budget",0,13,16.153846,13,1,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29,2025-02-16,Sales
2024-12-01,2024-12-01,"Retargetting - All Shows OCT23",prospecting,inactive,19.17,,,,,,"Using ad set budget",0,1562,12.272727,1322,1.181543,0,28,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,27,,,,,,00:00:00,,,,1.792574,22,2,2,1,1,1,1,,0,1.728553,,0.71,,,0,,,,,0,,,,,40,,40,,19.17,9.585,44,,44,,19.17,,,,,,,,,,,0.871364,,2023-10-04,2025-02-14,Sales
2024-12-01,2024-12-01,"Retargetting - All Shows OCT23",existing,inactive,8.6,1,8.6,1.395349,12,12,"Using ad set budget",0,394,21.827411,221,1.782805,0,1,0,"1-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,8.6,,,19,,,,,,00:00:00,,,,0.253807,1,,,,,,,1.395349,0,4.822335,,0.452632,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,2023-10-04,2025-02-14,Sales
2024-12-01,2024-12-01,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,11.66,,,,,,"Using ad set budget",0,1528,7.63089,1496,1.02139,0,52,0,"7-day click or 1-day view",38,actions:landing_page_view,0.30684211,,,18,,,,,,00:00:00,,,,3.403141,38,,,,,,,,0,1.17801,,0.647778,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.306842,,2023-09-29,2025-02-14,Traffic
2024-11-30,2024-11-30,"Gocsy Tour",prospecting,inactive,1.7,,,,,,"Using ad set budget",0,100,17,93,1.075269,0,2,0,"7-day click or 1-day view",,,,,,3,,,,,,00:00:00,,,,2,,,,,,,,,0,3,,0.566667,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29,2025-02-16,Sales
2024-11-30,2024-11-30,"Gocsy Tour",existing,inactive,0.06,,,,,,"Using ad set budget",0,6,10,6,1,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29,2025-02-16,Sales
2024-11-30,2024-11-30,"Retargetting - All Shows OCT23",prospecting,inactive,13.88,,,,,,"Using ad set budget",0,1004,13.824701,807,1.244114,0,14,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,41,,,,,,00:00:00,,,,1.394422,12,,,,,,,,0,4.083665,,0.338537,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.156667,,2023-10-04,2025-02-14,Sales
2024-11-30,2024-11-30,"Retargetting - All Shows OCT23",existing,inactive,10.42,,,,,,"Using ad set budget",0,398,26.180905,188,2.117021,0,3,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,20,,,,,,00:00:00,,,,0.753769,2,1,1,,,1,1,,0,5.025126,,0.521,,,0,,,,,0,,,,,25,,25,,,10.42,55.56,,55.56,,10.42,1,,1,,,,,,,10.42,5.21,,2023-10-04,2025-02-14,Sales
2024-11-30,2024-11-30,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,9.85,,,,,,"Using ad set budget",0,966,10.196687,909,1.062706,0,38,0,"7-day click or 1-day view",36,actions:landing_page_view,0.27361111,,,,,,,,,00:00:00,,,,3.933747,36,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.273611,,2023-09-29,2025-02-14,Traffic
2024-11-29,2024-11-29,"Gocsy Tour",prospecting,inactive,0.53,,,,,,"Using ad set budget",0,34,15.588235,33,1.030303,0,,0,"7-day click or 1-day view",,,,,,1,,,,,,00:00:00,,,,,,,,,,,,,0,2.941176,,0.53,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29,2025-02-16,Sales
2024-11-29,2024-11-29,"Gocsy Tour",existing,inactive,0.01,,,,,,"Using ad set budget",0,1,10,1,1,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29,2025-02-16,Sales
2024-11-29,2024-11-29,"Retargetting - All Shows OCT23",prospecting,inactive,11.47,,,,,,"Using ad set budget",0,639,17.949922,500,1.278,0,12,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,19,,,,,,00:00:00,,,,1.877934,6,1,1,3,3,2,2,,0,2.973396,,0.603684,,,0,,,,,0,,,,,30,,30,,3.823333,11.47,192,,192,,5.735,,,,,,,,,,,1.911667,,2023-10-04,2025-02-14,Sales
2024-11-29,2024-11-29,"Retargetting - All Shows OCT23",existing,inactive,13.03,3,4.343333,18.535687,241.52,241.52,"Using ad set budget",0,435,29.954023,198,2.19697,0,1,0,"1-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.fb_pixel_purchase,4.34333333,,,19,,,,,,00:00:00,,,,0.229885,,4,4,3,3,6,6,18.535687,0,4.367816,,0.685789,,,0,,,,,0,,,,,75,,75,,4.343333,3.2575,450.52,,450.52,,2.171667,4,,4,,,,,,,3.2575,,,2023-10-04,2025-02-14,Sales
2024-11-29,2024-11-29,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,9.45,,,,,,"Using ad set budget",0,886,10.665914,867,1.021915,0,22,0,"7-day click or 1-day view",17,actions:landing_page_view,0.55588235,,,,,,,,,00:00:00,,,,2.48307,17,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.555882,,2023-09-29,2025-02-14,Traffic
2024-11-28,2024-11-28,"Retargetting - All Shows OCT23",prospecting,inactive,13.72,,,,,,"Using ad set budget",0,908,15.110132,773,1.174644,0,14,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,15,,,,,,00:00:00,,,,1.54185,10,,,,,,,,0,1.651982,,0.914667,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.372,,2023-10-04,2025-02-14,Sales
2024-11-28,2024-11-28,"Retargetting - All Shows OCT23",existing,inactive,9.45,3,3.15,17.142857,162,162,"Using ad set budget",0,380,24.868421,186,2.043011,0,,0,"1-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.fb_pixel_purchase,3.15,,,22,,,,,,00:00:00,,,,,,12,12,8,8,16,16,17.142857,0,5.789474,,0.429545,,,0,,,,,0,,,,,339,,339,,1.18125,0.7875,648,,648,,0.590625,,,,,,,,,,,,,2023-10-04,2025-02-14,Sales
2024-11-28,2024-11-28,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,9.89,,,,,,"Using ad set budget",0,1047,9.446036,1047,1,0,27,0,"7-day click or 1-day view",25,actions:landing_page_view,0.3956,,,,,,,,,00:00:00,,,,2.578797,25,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3956,,2023-09-29,2025-02-14,Traffic
2024-11-27,2024-11-27,"Retargetting - All Shows OCT23",prospecting,inactive,12.02,,,,,,"Using ad set budget",0,920,13.065217,785,1.171975,0,8,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,27,,,,,,00:00:00,,,,0.869565,4,,,,,,,,0,2.934783,,0.445185,,,0,,,,,0,,,,,,,,,,,,,,,,1,,1,,,,,,,12.02,3.005,,2023-10-04,2025-02-14,Sales
2024-11-27,2024-11-27,"Retargetting - All Shows OCT23",existing,inactive,12.79,,,,,,"Using ad set budget",0,503,25.427435,216,2.328704,0,1,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,22,,,,,,00:00:00,,,,0.198807,1,1,1,,,,,,0,4.373757,,0.581364,,,0,,,,,0,,,,,47,,47,,,12.79,,,,,,1,,1,,,,,,,12.79,12.79,,2023-10-04,2025-02-14,Sales
2024-11-27,2024-11-27,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,9.36,,,,,,"Using ad set budget",0,1103,8.485947,1081,1.020352,0,40,0,"7-day click or 1-day view",34,actions:landing_page_view,0.27529412,,,7,,,,,,00:00:00,,,,3.626473,34,,,,,,,,0,0.634633,,1.337143,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.275294,,2023-09-29,2025-02-14,Traffic
2024-11-26,2024-11-26,"Retargetting - All Shows OCT23",prospecting,inactive,13.09,,,,,,"Using ad set budget",0,1001,13.076923,890,1.124719,0,10,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,21,,,,,,00:00:00,,,,0.999001,5,,,,,,,,0,2.097902,,0.623333,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.618,,2023-10-04,2025-02-14,Sales
2024-11-26,2024-11-26,"Retargetting - All Shows OCT23",existing,inactive,10.83,,,,,,"Using ad set budget",0,465,23.290323,230,2.021739,0,5,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,19,,,,,,00:00:00,,,,1.075269,1,,,,,,,,0,4.086022,,0.57,,,0,,,,,0,,,,,,,,,,,,,,,,2,,2,,,,,,,5.415,10.83,,2023-10-04,2025-02-14,Sales
2024-11-26,2024-11-26,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,10.02,,,,,,"Using ad set budget",0,1119,8.954424,1081,1.035153,0,48,0,"7-day click or 1-day view",38,actions:landing_page_view,0.26368421,,,,,,,,,00:00:00,,,,4.289544,38,3,3,1,1,2,2,,0,,,,,,0,,,,,0,,,,,86,,86,,10.02,3.34,44,,44,,5.01,2,,2,,,100,,100,,5.01,0.263684,,2023-09-29,2025-02-14,Traffic
2024-11-25,2024-11-25,"Retargetting - All Shows OCT23",prospecting,inactive,15.89,1,15.89,1.384519,22,22,"Using ad set budget",0,1345,11.814126,1147,1.172624,0,25,0,"1-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,15.89,,,27,,,,,,00:00:00,,,,1.858736,19,1,1,,,,,1.384519,0,2.007435,,0.588519,,,0,,,,,0,,,,,20,,20,,,15.89,,,,,,,,,,,,,,,,0.836316,,2023-10-04,2025-02-14,Sales
2024-11-25,2024-11-25,"Retargetting - All Shows OCT23",existing,inactive,10.59,1,10.59,1.458924,15.45,15.45,"Using ad set budget",0,458,23.122271,215,2.130233,0,4,0,"1-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,10.59,,,19,,,,,,00:00:00,,,,0.873362,4,,,,,,,1.458924,0,4.148472,,0.557368,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.6475,,2023-10-04,2025-02-14,Sales
2024-11-25,2024-11-25,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,10.28,,,,,,"Using ad set budget",0,1267,8.113654,1229,1.030919,0,40,0,"7-day click or 1-day view",33,actions:landing_page_view,0.31151515,,,2,,,,,,00:00:00,,,,3.157064,33,,,,,,,,0,0.157853,,5.14,,,0,,,,,0,,,,,,,,,,,,,,,,5,,5,,,,,,,2.056,0.311515,,2023-09-29,2025-02-14,Traffic
2024-11-24,2024-11-24,"Retargetting - All Shows OCT23",prospecting,inactive,17.380886,,,,,,"Using ad set budget",0,1504,11.55644,1361,1.10507,0,24,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,12,,,,,,00:00:00,,,,1.595745,19,,,,,,,,0,0.797872,,1.448407,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.914783,,2023-10-04,2025-02-14,Sales
2024-11-24,2024-11-24,"Retargetting - All Shows OCT23",existing,inactive,9.899114,5,1.979823,19.597714,194,194,"Using ad set budget",0,450,21.998031,215,2.093023,0,2,0,"1-day click, 1-day view, or 1-day engaged-view",5,actions:offsite_conversion.fb_pixel_purchase,1.97982278,,,14,,,,,,00:00:00,,,,0.444444,1,,,1,1,1,1,19.597714,0,3.111111,,0.70708,,,0,,,,,0,,,,,,,,,9.899114,,64,,64,,9.899114,,,,,,,,,,,9.899114,,2023-10-04,2025-02-14,Sales
2024-11-24,2024-11-24,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,11.13,,,,,,"Using ad set budget",0,1273,8.743126,1218,1.045156,0,44,0,"7-day click or 1-day view",37,actions:landing_page_view,0.30081081,,,9,,,,,,00:00:00,,,,3.456402,37,,,,,,,,0,0.706991,,1.236667,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.300811,,2023-09-29,2025-02-14,Traffic
2024-11-23,2024-11-23,"Retargetting - All Shows OCT23",prospecting,inactive,16.243699,,,,,,"Using ad set budget",0,1470,11.050135,1338,1.098655,0,23,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,12,,,,,,00:00:00,,,,1.564626,17,,,,,,,,0,0.816327,,1.353642,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.955512,,2023-10-04,2025-02-14,Sales
2024-11-23,2024-11-23,"Retargetting - All Shows OCT23",existing,inactive,9.536301,7,1.362329,31.249014,298,298,"Using ad set budget",0,440,21.673411,218,2.018349,0,5,0,"1-day click, 1-day view, or 1-day engaged-view",7,actions:offsite_conversion.fb_pixel_purchase,1.3623287,,,8,,,,,,00:00:00,,,,1.136364,4,6,6,11,11,16,16,31.249014,0,1.818182,,1.192038,,,0,,,,,0,,,,,311,,311,,0.866936,1.589383,838,,838,,0.596019,,,,,,,,,,,2.384075,,2023-10-04,2025-02-14,Sales
2024-11-23,2024-11-23,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,9.95,,,,,,"Using ad set budget",0,1091,9.120073,1071,1.018674,0,36,0,"7-day click or 1-day view",33,actions:landing_page_view,0.30151515,,,2,,,,,,00:00:00,,,,3.299725,33,,,,,,,,0,0.183318,,4.975,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.301515,,2023-09-29,2025-02-14,Traffic
2024-11-22,2024-11-22,"Retargetting - All Shows OCT23",prospecting,inactive,16.09,,,,,,"Using ad set budget",0,1450,11.096552,1223,1.185609,0,25,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,2,,,,,,00:00:00,,,,1.724138,20,,,,,,,,0,0.137931,,8.045,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.8045,,2023-10-04,2025-02-14,Sales
2024-11-22,2024-11-22,"Retargetting - All Shows OCT23",existing,inactive,12.58,,,,,,"Using ad set budget",0,508,24.76378,236,2.152542,0,3,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,1,,,,,,00:00:00,,,,0.590551,,4,4,1,1,2,2,,0,0.19685,,12.58,,,0,,,,,0,,,,,125.97,,125.97,,12.58,3.145,43.98,,43.98,,6.29,,,,,,,,,,,,,2023-10-04,2025-02-14,Sales
2024-11-22,2024-11-22,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,11.4,,,,,,"Using ad set budget",0,1272,8.962264,1225,1.038367,0,59,0,"7-day click or 1-day view",52,actions:landing_page_view,0.21923077,,,,,,,,,00:00:00,,,,4.638365,52,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.219231,,2023-09-29,2025-02-14,Traffic
2024-11-21,2024-11-21,"Retargetting - All Shows OCT23",prospecting,inactive,16.37,,,,,,"Using ad set budget",0,1331,12.299023,1066,1.248593,0,20,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,21,,,,,,00:00:00,,,,1.50263,18,,,,,,,,0,1.577761,,0.779524,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.909444,,2023-10-04,2025-02-14,Sales
2024-11-21,2024-11-21,"Retargetting - All Shows OCT23",existing,inactive,12.39,2,6.195,8.716707,108,108,"Using ad set budget",0,531,23.333333,229,2.318777,0,5,0,"1-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.fb_pixel_purchase,6.195,,,18,,,,,,00:00:00,,,,0.94162,3,5,5,1,1,3,3,8.716707,0,3.389831,,0.688333,,,0,,,,,0,,,,,266,,266,,12.39,2.478,108.92,,108.92,,4.13,1,,1,,,,,,,12.39,4.13,,2023-10-04,2025-02-14,Sales
2024-11-21,2024-11-21,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,11.58,,,,,,"Using ad set budget",0,1418,8.166432,1388,1.021614,0,55,0,"7-day click or 1-day view",48,actions:landing_page_view,0.24125,,,1,,,,,,00:00:00,,,,3.878702,48,,,,,,,,0,0.070522,,11.58,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.24125,,2023-09-29,2025-02-14,Traffic
2024-11-20,2024-11-20,"Retargetting - All Shows OCT23",prospecting,inactive,18.8,,,,,,"Using ad set budget",0,1639,11.470409,1339,1.224048,0,23,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,24,,,,,,00:00:00,,,,1.403295,16,,,,,,,,0,1.464308,,0.783333,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.175,,2023-10-04,2025-02-14,Sales
2024-11-20,2024-11-20,"Retargetting - All Shows OCT23",existing,inactive,10.98,,,,,,"Using ad set budget",0,469,23.411514,226,2.075221,0,6,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,13,,,,,,00:00:00,,,,1.279318,5,2,2,,,,,,0,2.771855,,0.844615,,,0,,,,,0,,,,,187,,187,,,5.49,,,,,,,,,,,,,,,,2.196,,2023-10-04,2025-02-14,Sales
2024-11-20,2024-11-20,"Oct23 LPviews 1%Lookalike - All Shows",unknown,inactive,11.95,,,,,,"Using ad set budget",0,1475,8.101695,1408,1.047585,0,50,0,"7-day click or 1-day view",50,actions:landing_page_view,0.239,,,,,,,,,00:00:00,,,,3.389831,50,,,,,1,1,,0,,,,,,0,,,,,0,,,,,,,,,,,27.46,,27.46,,11.95,1,,1,,,,,,,11.95,0.239,,2023-09-29,2025-02-14,Traffic
2024-11-19,2024-11-19,"Retargetting - All Shows OCT23",prospecting,inactive,22.29,,,,,,"Using ad set budget",0,2046,10.894428,1870,1.094118,0,38,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,52,,,,,,00:00:00,,,,1.857283,27,,,,,,,,0,2.541544,,0.428654,,,0,,,,,0,,,,,,,,,,,,,,,,1,,1,,,,,,,22.29,0.825556,,2023-10-04,2025-02-14,Sales
