"Reporting starts","Reporting ends","Campaign name","Audience segments","Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2025-05-30,2025-05-30,"Traffic - All Shows 14 Feb 25",unknown,active,22,,,,,,"Using ad set budget",0,2156,10.204082,2011,1.072103,0,62,0,"7-day click or 1-day view",10,actions:landing_page_view,2.2,,,471,,,,,,00:00:00,,,,2.875696,10,,,,,,,,0,21.846011,,0.046709,,,0,,,,,0,,,,,,,,,,,,,,,,6,,6,,,,,,,3.666667,2.2,,2025-02-14,2025-05-07,Traffic
2025-05-29,2025-05-29,"RORY: Brisbane Sales Campaign",prospecting,recently_completed,134.93,5,26.986,2.07515,280,280,500,Lifetime,9228,14.621803,6548,1.409285,0,198,0,"7-day click, 1-day view, or 1-day engaged-view",5,actions:offsite_conversion.fb_pixel_purchase,26.986,,,3713,,,,,,00:00:00,,,,2.145644,102,,,,,,,2.07515,0,40.236238,,0.03634,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.322843,,2025-05-27,2025-05-27,Sales
2025-05-29,2025-05-29,"RORY: Brisbane Sales Campaign",existing,recently_completed,23.8,1,23.8,4.411765,105,105,500,Lifetime,633,37.598736,212,2.985849,0,16,0,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,23.8,,,154,,,,,,00:00:00,,,,2.527646,12,,,,,,,4.411765,0,24.328594,,0.154545,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.983333,,2025-05-27,2025-05-27,Sales
2025-05-29,2025-05-29,"RORY: Canberra Sales Campaign",prospecting,active,89.54,1,89.54,0.864865,77.44,77.44,750,Lifetime,5770,15.518198,4880,1.182377,0,130,0,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,89.54,,,1989,,,,,,00:00:00,,,,2.253033,98,7,7,,,7,7,0.864865,0,34.471404,,0.045018,,,0,,,,,0,,,,,528,,528,,,12.791429,528,,528,,12.791429,132,,132,,,,,,,0.678333,0.913673,,2025-05-27,2025-05-28,Sales
2025-05-29,2025-05-29,"RORY: Canberra Sales Campaign",existing,active,5.35,,,,,,750,Lifetime,198,27.020202,72,2.75,0,6,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,47,,,,,,00:00:00,,,,3.030303,6,,,,,,,,0,23.737374,,0.11383,,,0,,,,,0,,,,,,,,,,,,,,,,6,,6,,,,,,,0.891667,0.891667,,2025-05-27,2025-05-28,Sales
2025-05-29,2025-05-29,"RORY LOWE TOUR - Traffic",unknown,active,18.37,,,,,,"Using ad set budget",0,2782,6.603163,2464,1.129058,0,210,0,"7-day click or 1-day view",168,actions:landing_page_view,0.10934524,,,852,,,,,,00:00:00,,,,7.548526,168,,,,,,,,0,30.625449,,0.021561,,,0,,,,,0,,,,,,,,,,,,,,,,108,,108,,,,,,,0.170093,0.109345,,2025-04-25,2025-05-25,Traffic
2025-05-29,2025-05-29,"Traffic - All Shows 14 Feb 25",unknown,active,19.84,,,,,,"Using ad set budget",0,1531,12.95885,1438,1.064673,0,35,0,"7-day click or 1-day view",5,actions:landing_page_view,3.968,,,279,,,,,,00:00:00,,,,2.286088,5,,,,,,,,0,18.223383,,0.071111,,,0,,,,,0,,,,,,,,,,,,,,,,3,,3,,,,,,,6.613333,3.968,,2025-02-14,2025-05-07,Traffic
2025-05-28,2025-05-28,"RORY: Brisbane Sales Campaign",prospecting,recently_completed,178.2,1,178.2,0.392817,70,70,500,Lifetime,14959,11.912561,9093,1.645112,0,296,0,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,178.2,,,5976,,,,,,00:00:00,,,,1.978742,121,,,,,,,0.392817,0,39.949194,,0.029819,,,0,,,,,0,,,,,,,,,,,,,,,,1,,1,,,,,,,178.2,1.472727,,2025-05-27,2025-05-27,Sales
2025-05-28,2025-05-28,"RORY: Brisbane Sales Campaign",existing,recently_completed,21.98,,,,,,500,Lifetime,859,25.587893,253,3.395257,0,38,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,256,,,,,,00:00:00,,,,4.423749,18,,,,,,,,0,29.802095,,0.085859,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.221111,,2025-05-27,2025-05-27,Sales
2025-05-28,2025-05-28,"RORY: Canberra Sales Campaign",prospecting,active,73,3,24.333333,3.123151,227.99,227.99,750,Lifetime,5295,13.786591,3920,1.350765,0,123,0,"7-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.fb_pixel_purchase,24.33333333,,,1678,,,,,,00:00:00,,,,2.322946,89,6,6,,,6,6,3.123151,0,31.690274,,0.043504,,,0,,,,,0,,,,,387.2,,387.2,,,12.166667,387.2,,387.2,,12.166667,124,,124,,,,,,,0.58871,0.820225,,2025-05-27,2025-05-28,Sales
2025-05-28,2025-05-28,"RORY: Canberra Sales Campaign",existing,active,7.54,,,,,,750,Lifetime,282,26.737589,106,2.660377,0,12,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,78,,,,,,00:00:00,,,,4.255319,10,,,,,,,,0,27.659574,,0.096667,,,0,,,,,0,,,,,,,,,,,,,,,,17,,17,,,,,,,0.443529,0.754,,2025-05-27,2025-05-28,Sales
2025-05-28,2025-05-28,"RORY LOWE TOUR - Traffic",unknown,active,15.58,,,,,,"Using ad set budget",0,2695,5.781076,2360,1.141949,0,248,0,"7-day click or 1-day view",200,actions:landing_page_view,0.0779,,,879,,,,,,00:00:00,,,,9.202226,200,,,,,,,,0,32.615955,,0.017725,,,0,,,,,0,,,,,,,,,,,,,,,,119,,119,,,,,,,0.130924,0.0779,,2025-04-25,2025-05-25,Traffic
2025-05-28,2025-05-28,"RORY LOWE TOUR - SALES",prospecting,not_delivering,0,,,,,,"Using ad set budget",0,0,0,0,0,0,,0,"Multiple attribution settings",,,,,,,,,,,,00:00:00,,,,,1,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2025-04-25,2025-05-05,Sales
2025-05-28,2025-05-28,"Traffic - All Shows 14 Feb 25",unknown,active,17.17,,,,,,"Using ad set budget",0,1737,9.884859,1652,1.051453,0,65,0,"7-day click or 1-day view",4,actions:landing_page_view,4.2925,,,247,,,,,,00:00:00,,,,3.742084,4,,,,,,,,0,14.219919,,0.069514,,,0,,,,,0,,,,,,,,,,,,,,,,2,,2,,,,,,,8.585,4.2925,,2025-02-14,2025-05-07,Traffic
2025-05-27,2025-05-27,"RORY: Brisbane Sales Campaign",prospecting,recently_completed,68.79,,,,,,500,Lifetime,5150,13.357282,4607,1.117864,0,52,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,1278,,,,,,00:00:00,,,,1.009709,26,,,,,,,,0,24.815534,,0.053826,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.645769,,2025-05-27,2025-05-27,Sales
