"Reporting starts","Reporting ends","Ad Set Name","Time of day (ad account time zone)","Ad set delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",custom_audiences,"Optimization events","Optimization Event Indicator","Optimization event conversion window"
2022-05-01,2025-06-01,"iD Comedy Club","03:00:00 - 03:59:59",inactive,1.599919,,,,,,"Using campaign budget",0,1044,1.532489,0,0,0,,0,"7-day click or 1-day view",,,,,,6,,,,,,00:00:00,,,,,,,,,,,,,0,0.574713,,0.266653,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-18,2022-11-29,,,,
2022-05-01,2025-06-01,"NEWCASTLE: Rory Lowe Traffic","03:00:00 - 03:59:59",active,2.16049,,,,,,5,Daily,280,7.716035,0,0,10.357143,27,0.0745,"7-day click or 1-day view",16,actions:landing_page_view,0.13503061,,,117,,,,,,00:00:00,,,,9.642857,16,,,,,,,,0,41.785714,,0.018466,,27,0,9.642857,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.135031,,2025-05-05,2025-05-22,,16,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Whole Festival Dynamic Creative","03:00:00 - 03:59:59",not_delivering,5.737973,,,,,,"Using campaign budget",0,462,12.419854,0,0,3.896104,10,0.318776,"7-day click or 1-day view",,,,,,90,,,,,,00:00:00,,,,2.164502,9,,,,,,,,0,19.480519,,0.063755,,10,0,2.164502,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.637553,,2024-07-03,2024-07-03,,,,
2022-05-01,2025-06-01,"Event: Dark Jokes Night (Halloween)","03:00:00 - 03:59:59",not_delivering,0.17,,,,,,"Using campaign budget",0,6,28.333333,0,0,33.333333,1,0.085,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,16.666667,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-25,2022-10-25,,,,
2022-05-01,2025-06-01,"MANDURAH: Rory Lowe Traffic","03:00:00 - 03:59:59",active,1.110427,,,,,,5,Daily,175,6.345298,0,0,11.428571,19,0.055521,"7-day click or 1-day view",21,actions:landing_page_view,0.05287748,,,70,,,,,,00:00:00,,,,10.857143,21,,,,,,,,0,40,,0.015863,,19,0,10.857143,,,,0,,,,,,,,,,,,,,,,,,20,,,,,,,,0.052877,,2025-05-05,2025-05-22,,21,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"REACH: Whole Festival Dynamic Creative","03:00:00 - 03:59:59",not_delivering,0.75,,,,,,"Using campaign budget",0,319,2.351097,0,0,0.31348,,0.75,"7-day click or 1-day view",,,,,,72,,,,,,00:00:00,,,,,,,,,,,,,0,22.570533,,0.010417,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-10,2025-01-16,,,,
2022-05-01,2025-06-01,"AlanFang Promo Video","03:00:00 - 03:59:59",not_delivering,0.09,,,,,,50,Lifetime,1,90,0,0,0,,0,"7-day click or 1-day view",,,,,,1,,,,,,00:00:00,,,,,,,,,,,,,0,100,,0.09,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-29,2024-06-21,,,,
2022-05-01,2025-06-01,"CAIRNS: Rory Lowe Traffic","03:00:00 - 03:59:59",inactive,0.470632,,,,,,5,Daily,42,11.205531,0,0,7.142857,3,0.156877,"7-day click or 1-day view",,,,,,22,,,,,,00:00:00,,,,7.142857,,,,,,,,,0,52.380952,,0.021392,,3,0,7.142857,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-05,2025-05-19,,,,
2022-05-01,2025-06-01,"TRAFFIC LP Views: Dynamic Creative","03:00:00 - 03:59:59",not_delivering,4.118823,,,,,,"Using campaign budget",0,427,9.645956,0,0,12.64637,46,0.076275,"7-day click or 1-day view",38,actions:landing_page_view,0.10839008,,,146,,,,,,00:00:00,,,,10.772834,38,,,,,,,,0,34.192037,,0.028211,,46,0,10.772834,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.10839,,2024-07-11,2025-01-16,,38,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Clip 1 Impressions","03:00:00 - 03:59:59",not_delivering,0.83,,,,,,100,Lifetime,180,4.611111,0,0,0.555556,,0.83,"7-day click or 1-day view",,,,,,110,,,,,,00:00:00,,,,,,,,,,,,,0,61.111111,,0.007545,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-20,2023-06-12,,,,
2022-05-01,2025-06-01,"WOLLONGONG: Rory Lowe Traffic","03:00:00 - 03:59:59",inactive,0.54,,,,,,5,Daily,69,7.826087,0,0,8.695652,6,0.09,"7-day click or 1-day view",6,actions:landing_page_view,0.09,,,25,,,,,,00:00:00,,,,8.695652,6,,,,,,,,0,36.231884,,0.0216,,6,0,8.695652,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,2025-05-15,2025-05-27,,6,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Goodchat + Steph","03:00:00 - 03:59:59",not_delivering,0.889674,,,,,,"Using campaign budget",0,51,17.444584,0,0,0,,0,"7-day click or 1-day view",,,,,,8,,,,,,00:00:00,,,,,1,,6,,,,,,0,15.686275,,0.111209,,,0,,,,,0,,,,,121,,121,,,,,,,,,,,,,,,,,,,0.889674,,2024-07-16,2024-07-16,,,,
2022-05-01,2025-06-01,"ALL SHOWS - Photos & Slideshows","03:00:00 - 03:59:59",not_delivering,5.700528,1,,,,,"Using campaign budget",0,423,13.476426,0,0,0.70922,2,1.900176,"1-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,5.70052808,,,20,,,,,,00:00:00,,,,0.472813,1,,2,,,,2,,0,4.728132,,0.285026,,2,0,0.472813,,,,0,,,,,20,,20,,,,36.36,,36.36,,,,,7,,,,,,,,5.700528,,2023-05-15,2023-05-17,,1,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 1-day click"
2022-05-01,2025-06-01,"SUNSHINE COAST: Rory Lowe Traffic","03:00:00 - 03:59:59",completed,0.1,,,,,,5,Daily,17,5.882353,0,0,0,,0,"7-day click or 1-day view",1,actions:landing_page_view,0.1,,,8,,,,,,00:00:00,,,,,1,,,,,,,,0,47.058824,,0.0125,,,0,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,0.1,,2025-05-05,2025-05-22,,1,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"David Rose","03:00:00 - 03:59:59",not_delivering,0.64,,,,,,"Using campaign budget",0,52,12.307692,0,0,1.923077,,0.64,"7-day click or 1-day view",,,,,,26,,,,,,00:00:00,,,,,,,,,,,,,0,50,,0.024615,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-16,2024-08-16,,,,
2022-05-01,2025-06-01,"traffic link click ALL SHOWS - Photos & Slideshows","03:00:00 - 03:59:59",not_delivering,0.76,,,,,,"Using campaign budget",0,130,5.846154,0,0,3.076923,3,0.19,"7-day click or 1-day view",3,actions:link_click,0.25333333,,,6,,,,,,00:00:00,,,,2.307692,,,,,,,,,0,4.615385,,0.126667,,3,0,2.307692,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15,2024-06-21,,3,actions:link_click,"1-day click"
2022-05-01,2025-06-01,"Rory: Brisbane Conversions UPDATED","03:00:00 - 03:59:59",inactive,0.07,,,,,,600,Lifetime,7,10,0,0,0,,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,3,,,,,,00:00:00,,,,,,,,,,,,,0,42.857143,,0.023333,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-05,2025-05-21,,,,
2022-05-01,2025-06-01,"ALL SHOWS Flexible Creative","03:00:00 - 03:59:59",not_delivering,15.159958,,,,,,60,Daily,1069,14.181439,0,0,1.777362,13,0.797893,"1-day click, 1-day view, or 1-day engaged-view",,,,,,192,,,,,,00:00:00,,,,1.21609,6,,,,,,,,0,17.960711,,0.078958,,13,0,1.21609,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.52666,,2025-02-14,2025-05-07,,,,
2022-05-01,2025-06-01,"Kinselas Day Of","03:00:00 - 03:59:59",not_delivering,0.21,,,,,,40,Lifetime,39,5.384615,0,0,2.564103,1,0.21,"1-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,2.564103,,,,,,,,,0,,,,,1,0,2.564103,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15,2024-06-21,,,,
2022-05-01,2025-06-01,"Rory: Brisbane Conversions UPDATED v2","03:00:00 - 03:59:59",inactive,0,,,,,,600,Lifetime,1,0,0,0,0,,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-22,2025-05-27,,,,
2022-05-01,2025-06-01,"Gocsy Queanbeyan","03:00:00 - 03:59:59",not_delivering,0.43,,,,,,50,Lifetime,27,15.925926,0,0,0,,0,"7-day click or 1-day view",,,,,,1,,,,,,00:00:00,,,,,,,,,,,,,0,3.703704,,0.43,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29,2025-05-05,,,,
2022-05-01,2025-06-01,"Magic Day Of","03:00:00 - 03:59:59",not_delivering,0.3,,,,,,40,Lifetime,22,13.636364,0,0,0,,0,"1-day click or 1-day view",,,,,,3,,,,,,00:00:00,,,,,,,,,,,,,0,13.636364,,0.1,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15,2024-06-21,,,,
2022-05-01,2025-06-01,"Rory: Sunshine Coast Conversions UPDATEDv2","03:00:00 - 03:59:59",inactive,1.022523,,,,,,300,Lifetime,103,9.927411,0,0,1.941748,2,0.511262,"1-day click, 1-day view, or 1-day engaged-view",,,,,,46,,,,,,00:00:00,,,,1.941748,1,,,,,,,,0,44.660194,,0.022229,,2,0,1.941748,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,1.022523,,2025-05-22,2025-05-24,,,,
2022-05-01,2025-06-01,"Gocsy Newcastle - 1 day view click","03:00:00 - 03:59:59",archived,0.04,,,,,,50,Lifetime,4,10,0,0,0,,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-29,2024-12-02,,,,
2022-05-01,2025-06-01,"Harrys Day Of","03:00:00 - 03:59:59",inactive,0.46,,,,,,98.91,Lifetime,45,10.222222,0,0,0,,0,"1-day click or 1-day view",,,,,,4,,,,,,00:00:00,,,,,,,,,,,,,0,8.888889,,0.115,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-15,2024-06-21,,,,
2022-05-01,2025-06-01,"Rory: Brisbane Sales","03:00:00 - 03:59:59",recently_completed,4.72,,,,,,"Using campaign budget",0,284,16.619718,0,0,5.633803,9,0.295,"7-day click, 1-day view, or 1-day engaged-view",,,,,,126,,,,,,00:00:00,,,,3.169014,3,,,,,,,,0,44.366197,,0.03746,,9,0,3.169014,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.573333,,2025-05-27,2025-05-27,,,,
2022-05-01,2025-06-01,"ALL SHOWS - Photos & Slideshows","03:00:00 - 03:59:59",not_delivering,0.17,,,,,,"Using campaign budget",0,8,21.25,0,0,0,,0,"7-day click or 1-day view",,,,,,3,,,,,,00:00:00,,,,,,,,,,,,,0,37.5,,0.056667,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-16,2024-06-21,,,,
2022-05-01,2025-06-01,"Rory: Canberra Sales","03:00:00 - 03:59:59",active,0.610267,,,,,,"Using campaign budget",0,35,17.436212,0,0,2.857143,1,0.610267,"7-day click, 1-day view, or 1-day engaged-view",,,,,,14,,,,,,00:00:00,,,,2.857143,1,,,,,,,,0,40,,0.043591,,1,0,2.857143,,,,0,,,,,,,,,,,,,,,,,,2,,,,,,,,0.610267,,2025-05-28,2025-05-28,,,,
2022-05-01,2025-06-01,"traffic LPviews ALL SHOWS - Photos & Slideshows","03:00:00 - 03:59:59",not_delivering,8.792301,,,,,,"Using campaign budget",0,994,8.845373,0,0,3.62173,32,0.244231,"7-day click or 1-day view",16,actions:landing_page_view,0.54951879,,,71,,,,,,00:00:00,,,,3.219316,16,,,,,,,,0,7.142857,,0.123835,,32,0,3.219316,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.549519,,2023-05-25,2025-01-16,,16,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Magic Mic Comedy","04:00:00 - 04:59:59",inactive,0.11,,,,,,"Using campaign budget",0,14,7.857143,0,0,0,,0,"7-day click or 1-day view",,,,,,1,,,,,,00:00:00,,,,,,,,,,,,,0,7.142857,,0.11,,,0,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2022-05-18,2023-03-09,,,,
2022-05-01,2025-06-01,"traffic LPviews ALL SHOWS - Photos & Slideshows","04:00:00 - 04:59:59",not_delivering,0.31,,,,,,"Using campaign budget",0,21,14.761905,0,0,4.761905,1,0.31,"7-day click or 1-day view",1,actions:landing_page_view,0.31,,,7,,,,,,00:00:00,,,,4.761905,1,,,,,,,,0,33.333333,,0.044286,,1,0,4.761905,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,2023-09-25,2024-06-21,,1,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"ALL SHOWS Flexible Creative TRAFFIC","04:00:00 - 04:59:59",active,22.241819,,,,,,22,Daily,1846,12.048656,0,0,5.362947,76,0.224665,"7-day click or 1-day view",26,actions:landing_page_view,0.85545458,,,283,,,,,,00:00:00,,,,4.11701,26,,,,,,,,0,15.330444,,0.078593,,76,0,4.11701,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.855455,,2025-02-14,2025-05-22,,26,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Post: ""The best comedians, the best shows, the best fun,...""","04:00:00 - 04:59:59",not_delivering,0.07,,,,,,"Using campaign budget",0,10,7,0,0,10,,0.07,"7-day click or 1-day view",1,actions:post_engagement,0.07,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-31,2022-06-01,,1,actions:post_engagement,"1-day click"
2022-05-01,2025-06-01,"Harrys Comedy","04:00:00 - 04:59:59",inactive,0.11,,,,,,"Using campaign budget",0,7,15.714286,0,0,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-18,2023-03-09,,,,
2022-05-01,2025-06-01,"Video Ad - Carousel Launch","04:00:00 - 04:59:59",not_delivering,0.079984,,,,,,"Using campaign budget",0,3,26.661334,0,0,0,,0,"1-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-25,2023-09-25,,,,
2022-05-01,2025-06-01,"MELB: ALL SHOWS Flexible Creative","04:00:00 - 04:59:59",not_delivering,3.91,,,,,,150,Daily,277,14.115523,0,0,2.527076,2,0.558571,"1-day click, 1-day view, or 1-day engaged-view",,,,,,36,,,,,,00:00:00,,,,0.722022,1,,,,,,,,0,12.99639,,0.108611,,2,0,0.722022,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,,2025-04-03,2025-04-13,,,,
2022-05-01,2025-06-01,"Magic Mic Comedy","04:00:00 - 04:59:59",not_delivering,5.730109,,,,,,"Using campaign budget",0,3682,1.556249,0,0,0.027159,1,5.730109,"7-day click or 1-day view",,,,,,134,,,,,,00:00:00,,,,0.027159,,,,,,,,,0,3.639326,,0.042762,,1,0,0.027159,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2022-06-02,,,,
2022-05-01,2025-06-01,"iD Comedy Club","04:00:00 - 04:59:59",inactive,9.000258,,,,,,"Using campaign budget",0,678,13.274717,0,0,0.737463,1,1.800052,"1-day click or 1-day view",,,,,,59,,,,,,00:00:00,,,,0.147493,,,,,,,,,0,8.702065,,0.152547,,1,0,0.147493,,,,0,,,,,,,,,,,,,,,,,,5,,,,,,,,,,2022-05-18,2023-05-24,,,,
2022-05-01,2025-06-01,"Oct23 Dynamic Creative","04:00:00 - 04:59:59",not_delivering,48.58,,,,,,10,Daily,9923,4.895697,0,0,2.670563,239,0.183321,"7-day click or 1-day view",187,actions:landing_page_view,0.2597861,,,1130,,,,,,00:00:00,,,,2.408546,187,,,,,,,,0,11.387685,,0.042991,,239,0,2.408546,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.259786,,2023-09-29,2024-06-21,,187,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"MELB: Flexible Creative","04:00:00 - 04:59:59",completed,7.84,,,,,,300,Daily,424,18.490566,0,0,4.481132,8,0.412632,"1-day click, 1-day view, or 1-day engaged-view",,,,,,109,,,,,,00:00:00,,,,1.886792,6,,,,,,,,0,25.707547,,0.071927,,8,0,1.886792,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.306667,,2025-04-10,2025-04-16,,,,
2022-05-01,2025-06-01,"Harrys Comedy","04:00:00 - 04:59:59",not_delivering,0.15,,,,,,"Using campaign budget",0,57,2.631579,0,0,0,,0,"7-day click or 1-day view",,,,,,2,,,,,,00:00:00,,,,,,,,,,,,,0,3.508772,,0.075,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-24,,,,
2022-05-01,2025-06-01,"ALL SHOWS Single Dynamic Content","04:00:00 - 04:59:59",not_delivering,58.649939,1,,,,77,25,Daily,16037,3.657164,0,0,0.816861,70,0.447709,"1-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,58.64993909,,,1174,,,,,,00:00:00,,,,0.436491,29,,,,1,,2,1.312874,0,7.320571,,0.049957,,69,0,0.430255,,,,0,,,,,,,,,,,84,,84,,,,,1,,,,,,,,2.022412,,2023-10-04,2024-07-07,,1,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 1-day click"
2022-05-01,2025-06-01,"Rory: Sydney Conversions","04:00:00 - 04:59:59",archived,0.5,,,,,,10,Daily,34,14.705882,0,0,5.882353,1,0.25,Incremental,,,,,,,,,,,,00:00:00,,,,2.941176,1,,,,,,,,0,,,,,1,0,2.941176,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,2025-04-25,2025-05-14,,,,
2022-05-01,2025-06-01,"iD Comedy Club","04:00:00 - 04:59:59",not_delivering,8.480883,,,,,,"Using campaign budget",0,5336,1.589371,0,0,0.018741,1,8.480883,"7-day click or 1-day view",,,,,,109,,,,,,00:00:00,,,,0.018741,,,,,,,,,0,2.042729,,0.077806,,1,0,0.018741,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-02-15,,,,
2022-05-01,2025-06-01,"MICF: Sydney Showcase 070424","04:00:00 - 04:59:59",not_delivering,0.159984,,,,,,100,Lifetime,16,9.999,0,0,0,,0,"1-day click, 1-day view, or 1-day engaged-view",,,,,,2,,,,,,00:00:00,,,,,1,,,,,,,,0,12.5,,0.079992,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.159984,,2024-04-06,2024-04-07,,,,
2022-05-01,2025-06-01,"Rory: Sydney Traffic","04:00:00 - 04:59:59",completed,2.750357,,,,,,10,Daily,413,6.659461,0,0,14.285714,55,0.046616,"7-day click or 1-day view",48,actions:landing_page_view,0.05729911,,,216,,,,,,00:00:00,,,,13.317191,48,,,,,,,,0,52.300242,,0.012733,,55,0,13.317191,,,,0,,,,,,,,,,,,,,,,,,14,,,,,,,,0.057299,,2025-04-25,2025-05-15,,48,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Post: ""This weekend at Kinselas""","04:00:00 - 04:59:59",not_delivering,0.13,,,,,,"Using campaign budget",0,10,13,0,0,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-03,2022-06-03,,,,
2022-05-01,2025-06-01,"New Sales Ad Set","04:00:00 - 04:59:59",not_delivering,2.91927,,,,,,"Using campaign budget",0,256,11.403399,0,0,2.734375,6,0.417039,"7-day click or 1-day view",,,,,,48,,,,,,00:00:00,,,,2.34375,3,,,,,,,,0,18.75,,0.060818,,6,0,2.34375,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.97309,,2024-06-21,2024-07-15,,,,
2022-05-01,2025-06-01,"SYD: Rory Event Response Ad","04:00:00 - 04:59:59",not_delivering,0.11,,,,,,5,Daily,13,8.461538,0,0,15.384615,,0.055,"7-day click or 1-day view",,,,,,7,,,,,,00:00:00,,,,,,,,,,,,,0,53.846154,,0.015714,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-02,2025-05-02,,,,
2022-05-01,2025-06-01,"Post: ""Harry's Comedy in Surry Hills this Monday is...""","04:00:00 - 04:59:59",not_delivering,0.09,,,,,,"Using campaign budget",0,4,22.5,0,0,0,,0,"7-day click or 1-day view",1,actions:post_engagement,0.09,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-05,2022-06-05,,1,actions:post_engagement,"1-day click"
2022-05-01,2025-06-01,"Lookalike of iD Comedy Club Instagram Engagers","04:00:00 - 04:59:59",not_delivering,0.11,,,,,,11.51,Lifetime,15,7.333333,0,0,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-24,2025-01-16,,,,
2022-05-01,2025-06-01,"BRISBANE: Rory Lowe Traffic","04:00:00 - 04:59:59",inactive,2.271471,,,,,,10,Daily,329,6.904167,0,0,12.158055,37,0.056787,"7-day click or 1-day view",31,actions:landing_page_view,0.07327326,,,147,,,,,,00:00:00,,,,11.246201,31,,,,,,,,0,44.680851,,0.015452,,37,0,11.246201,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.073273,,2025-05-05,2025-05-27,,31,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Event: Harry's Comedy - Mondays","04:00:00 - 04:59:59",not_delivering,0.04,,,,,,"Using campaign budget",0,3,13.333333,0,0,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-10,2022-07-11,,,,
2022-05-01,2025-06-01,"Facebook Grouped Remarketing Audience","04:00:00 - 04:59:59",not_delivering,0.079914,,,,,,12.48,Lifetime,5,15.982759,0,0,20,,0.079914,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-24,2025-01-16,,,,
2022-05-01,2025-06-01,"PERTH: Rory Lowe Traffic","04:00:00 - 04:59:59",active,1.450224,,,,,,5,Daily,238,6.093378,0,0,12.605042,24,0.048341,"7-day click or 1-day view",26,actions:landing_page_view,0.05577784,,,102,,,,,,00:00:00,,,,10.084034,26,,,,,,,,0,42.857143,,0.014218,,24,0,10.084034,,,,0,,,,,,,,,,,,,,,,,,27,,,,,,,,0.055778,,2025-05-05,2025-05-22,,26,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Harrys Comedy","04:00:00 - 04:59:59",inactive,0.94,,,,,,"Using campaign budget",0,454,2.070485,0,0,0,,0,"7-day click or 1-day view",,,,,,17,,,,,,00:00:00,,,,,,,,,,,,,0,3.744493,,0.055294,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-18,2023-06-12,,,,
2022-05-01,2025-06-01,"iD Comedy Club Instagram Engagers","04:00:00 - 04:59:59",inactive,0.83,,,,,,10.43,Lifetime,60,13.833333,0,0,3.333333,1,0.415,"7-day click or 1-day view",1,actions:link_click,0.83,,,,,,,,,00:00:00,,,,1.666667,,,,,,,,,0,,,,,1,0,1.666667,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-24,2024-06-26,,1,actions:link_click,"1-day click"
2022-05-01,2025-06-01,"CANBERRA: Rory Lowe Traffic","04:00:00 - 04:59:59",inactive,2.791077,,,,,,10,Daily,425,6.567239,0,0,9.647059,35,0.068075,"7-day click or 1-day view",27,actions:landing_page_view,0.10337321,,,178,,,,,,00:00:00,,,,8.235294,27,,,,,,,,0,41.882353,,0.01568,,35,0,8.235294,,,,0,,,,,,,,,,,,,,,,,,29,,,,,,,,0.103373,,2025-05-06,2025-05-28,,27,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Magic Mic Comedy","04:00:00 - 04:59:59",not_delivering,4.43,,,,,,"Using campaign budget",0,1926,2.300104,0,0,0.103842,1,2.215,"7-day click or 1-day view",,,,,,69,,,,,,00:00:00,,,,0.051921,,,,,,,,,0,3.582555,,0.064203,,1,0,0.051921,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-18,2023-06-12,,,,
2022-05-01,2025-06-01,"Mailchimp Grouped Remarketing Audience","04:00:00 - 04:59:59",not_delivering,0.24,,,,,,14.72,Lifetime,17,14.117647,0,0,17.647059,2,0.08,"7-day click or 1-day view",2,actions:link_click,0.12,,,,,,,,,00:00:00,,,,11.764706,,,,,,,,,0,,,,,2,0,11.764706,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-24,2025-01-16,,2,actions:link_click,"1-day click"
