"Reporting starts","Reporting ends","Campaign name","Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2022-05-01,2025-05-31,"Post: ""The best comedians, the best shows, the best fun,...""",inactive,9.99,,,,,,10,Lifetime,1182,8.451777,1105,1.069683,6.091371,1,0.13875,"7-day click or 1-day view",58,actions:post_engagement,0.17224138,,,,,,,,,00:00:00,,,1,0.084602,,,,,,,,,0,,,,1,1,0.090498,0.084602,0.090498,9.99,9.99,0.140704,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-31,2025-02-16,Engagement
2022-05-01,2025-05-31,"Retargetting - Arcade OCT24",inactive,100,4,25,1.08,108,108,"Using ad set budget",0,8372,11.944577,5583,1.499552,0.83612,36,1.428571,"1-day click, 1-day view, or 1-day engaged-view",4,actions:offsite_conversion.fb_pixel_purchase,25,,128,428,797,294,174,132,128,3,2021,,35,0.430005,26,6,6,2,2,6,6,1.08,8426,5.112279,0.78125,0.233645,35,36,0.626903,0.430005,0.626903,2.857143,2.857143,1.5625,,,,,245.85,,245.85,,50,16.666667,133.9,,133.9,,16.666667,2,,2,,,,,,,50,3.846154,,2024-10-15,2025-02-16,Sales
2022-05-01,2025-05-31,"Reach - All Shows",inactive,1594.04,8,199.255,0.195303,311.32,311.32,5,Daily,975599,1.633909,244766,3.985844,0.048996,237,3.334812,"7-day click or 1-day view",244766,reach,6.51250582,,9009,25381,81406,25678,13523,9477,8963,1,469343,,232,0.024293,11,,,,,7,7,0.195303,0,2.601581,0.176939,0.062804,232,237,0.094784,0.024293,0.094784,6.870862,6.870862,3.495702,,,,,,,,,,,526.68,,526.68,,227.72,57,,57,,,,,,,27.965614,144.912727,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-31,"Gocsy Tour",inactive,53.85,,,,,,"Using ad set budget",0,3289,16.372758,2164,1.519871,2.645181,19,0.618966,"7-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_view_content,13.4625,,6,60,46,21,11,6,6,2,274,,18,0.577683,1,1,1,1,1,,,,3299,1.824263,8.975,0.8975,18,19,0.831793,0.577683,0.831793,2.991667,2.991667,0.727703,,,,,19.99,,19.99,,53.85,53.85,,,,,,4,,4,,,,,,,13.4625,53.85,,2024-11-29,2025-02-16,Sales
2022-05-01,2025-05-31,"Post: ""This weekend at Kinselas""",inactive,10,,,,,,10,Lifetime,1019,9.813543,974,1.046201,7.654563,5,0.128205,"7-day click or 1-day view",65,actions:post_engagement,0.15384615,,,,,,,,,00:00:00,,,5,0.490677,,,,,,,,,0,,,,,,0.513347,,,,2,0.138889,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-03,2025-02-16,Engagement
2022-05-01,2025-05-31,"Retargetting - Roast Battle Sydney",completed,100,5,20,1.66,166,166,"Using ad set budget",0,10064,9.936407,7396,1.360736,2.235692,88,0.444444,"1-day click, 1-day view, or 1-day engaged-view",5,actions:offsite_conversion.fb_pixel_purchase,20,,,,,,,,,00:00:00,,,77,0.874404,73,,,3,3,3,3,1.66,10109,,,,77,88,1.041103,0.874404,1.041103,1.298701,1.298701,0.598802,,,,,,,,,33.333333,,,,,,33.333333,12,,12,,,600,,600,,8.333333,1.369863,,2025-03-07,2025-04-22,Sales
2022-05-01,2025-05-31,"Post: ""Harry's Comedy in Surry Hills this Monday is...""",inactive,10,,,,,,10,Lifetime,1313,7.616146,1212,1.083333,8.377761,2,0.090909,"7-day click or 1-day view",85,actions:post_engagement,0.11764706,,,,,,,,,00:00:00,,,2,0.152323,,,,,,,,,0,,,,2,2,0.165017,0.152323,0.165017,5,5,0.09434,,,,,,,,,,,,,,,,1,,1,,,,,,,10,,,2022-06-05,2025-02-16,Engagement
2022-05-01,2025-05-31,"MELB: Retargetting - All Shows 270325",inactive,1436.56,67,21.441194,2.920867,4196,4196,"Using ad set budget",0,95425,15.054336,30448,3.134032,1.305737,645,1.152937,"1-day click, 1-day view, or 1-day engaged-view",67,actions:offsite_conversion.fb_pixel_purchase,21.44119403,,1610,7230,8975,3745,2214,1664,1601,3,28822,,570,0.675924,294,,,47,47,51,51,2.920867,100488,7.576631,0.892273,0.198694,568,645,1.872044,0.675924,1.865476,2.529155,2.520281,1.454008,,,,,,,,,30.565106,,2042,,2042,,28.167843,14,,14,,,400,,400,,102.611429,4.886259,,2025-04-03,2025-04-16,Sales
2022-05-01,2025-05-31,"Post: ""You're in for an absolute treat if you're coming...""",inactive,6.61,,,,,,10,Lifetime,864,7.650463,826,1.046005,9.722222,27,0.07869,"7-day click or 1-day view",27,actions:link_click,0.24481481,,,,,,,,,00:00:00,,,26,3.125,,,,,,,,,0,,,,1,1,3.1477,0.115741,0.121065,6.61,0.254231,0.115965,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-21,2022-06-22,Traffic
2022-05-01,2025-05-31,"MELB: Retargetting - BOTF + RORY",completed,1255.12,19,66.058947,0.983842,1234.84,1234.84,"Using ad set budget",0,87179,14.397045,33588,2.59554,1.820393,768,0.790876,"1-day click, 1-day view, or 1-day engaged-view",19,actions:offsite_conversion.fb_pixel_purchase,66.05894737,,3098,8815,4026,2150,1497,1182,865,9,20383,,661,0.880946,416,,,16,16,17,17,0.983842,90536,10.11138,0.405139,0.142385,662,768,1.967965,0.880946,1.970942,1.895952,1.89882,1.027103,,,,,,,,,78.445,,130.84,,130.84,,73.830588,23,,23,,,750,,750,,54.570435,3.017115,,2025-04-10,2025-04-22,Sales
