Reporting starts,Reporting ends,Ad Set Name,Audience segments,Ad set delivery,Amount spent (AUD),Website purchases,Cost per purchase (AUD),Purchase ROAS (return on ad spend),Purchases conversion value,Website purchases conversion value,Ad set budget,Ad set budget type,Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,CTR (all),Link clicks,CPC (all) (AUD),Attribution setting,Results,Result indicator,Cost per results,Meta purchases,ThruPlays,3-second video plays,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video average play time,Video plays,profile_visit_view,Unique link clicks,CTR (link click-through rate),Landing page views,Adds to cart,Website adds to cart,Adds of payment info,Website adds of payment info,Checkouts Initiated,Website checkouts initiated,Website purchase ROAS (return on ad spend),Views,3-second video plays rate per impressions,Cost per ThruPlay (AUD),Cost per 3-second video play (AUD),Unique outbound clicks,Outbound clicks,Unique CTR (link click-through rate),Outbound CTR (click-through rate),Unique outbound CTR (click-through rate),Cost per unique outbound click (AUD),Cost per unique link click (AUD),Cost per unique click (all) (AUD),Adds of payment info conversion value,In-app adds of payment info conversion value,Website adds of payment info conversion value,Offline adds of payment info conversion value,Adds to cart conversion value,In-app adds to cart conversion value,Website adds to cart conversion value,Offline adds to cart conversion value,Cost per add of payment info (AUD),Cost per add to cart (AUD),Checkouts initiated conversion value,In-app checkouts initiated conversion value,Website checkouts initiated conversion value,Offline checkouts initiated conversion value,Cost per checkout initiated (AUD),Content views,In-app content views,Website content views,Offline content views,Meta content views,Content views conversion value,In-app content views conversion value,Website content views conversion value,Offline content views conversion value,Cost per content view (AUD),Cost per landing page view (AUD),Orders created,Date created,Date last edited,custom_audiences,Optimization events,Optimization Event Indicator,Optimization event conversion window
31/05/2025,31/05/2025,PERTH: Rory Lowe Traffic,unknown,active,2.53,,,,,,5,Daily,575,4.4,512,1.123047,0,78,0,7-day click or 1-day view,65,actions:landing_page_view,0.03892308,,,206,,,,,,0:00:00,,,,13.565217,65,,,,,,,,0,35.826087,,0.012282,,,0,,,,,0,,,,,,,,,,,,,,,,66,,66,,,,,,,0.038333,0.038923,,5/05/2025,22/05/2025,,65,actions:landing_page_view,1-day click
31/05/2025,31/05/2025,ALL SHOWS Flexible Creative TRAFFIC,unknown,active,25.51,,,,,,22,Daily,2308,11.05286,2222,1.038704,0,83,0,7-day click or 1-day view,10,actions:landing_page_view,2.551,,,574,,,,,,0:00:00,,,,3.596187,10,,,,,,,,0,24.870017,,0.044443,,,0,,,,,0,,,,,,,,,,,,,,,,8,,8,,,,,,,3.18875,2.551,,14/02/2025,22/05/2025,,10,actions:landing_page_view,1-day click
30/05/2025,30/05/2025,Rory: Canberra Sales,prospecting,active,60.98,1,60.98,1.179075,71.9,71.9,Using campaign budget,0,3681,16.566151,3019,1.219278,0,74,0,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,60.98,,,1127,,,,,,0:00:00,,,,2.010323,59,5,5,,,5,5,1.179075,0,30.61668,,0.054108,,,0,,,,,0,,,,,352,,352,,,12.196,352,,352,,12.196,86,,86,,,,,,,0.70907,1.033559,,28/05/2025,28/05/2025,,1,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click"
30/05/2025,30/05/2025,Rory: Canberra Sales,existing,active,3.79,,,,,,Using campaign budget,0,166,22.831325,59,2.813559,0,4,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,41,,,,,,0:00:00,,,,2.409639,4,,,,,,,,0,24.698795,,0.092439,,,0,,,,,0,,,,,,,,,,,,,,,,5,,5,,,,,,,0.758,0.9475,,28/05/2025,28/05/2025,,,,
30/05/2025,30/05/2025,Rory: Brisbane Sales,prospecting,recently_completed,62.06,3,20.686667,3.383822,210,210,Using campaign budget,0,3492,17.77205,2641,1.322226,0,84,0,"7-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.fb_pixel_purchase,20.68666667,,,1329,,,,,,0:00:00,,,,2.405498,44,,,,,,,3.383822,0,38.058419,,0.046697,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.410455,,27/05/2025,27/05/2025,,3,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click"
30/05/2025,30/05/2025,Rory: Brisbane Sales,existing,recently_completed,8.26,1,8.26,4.237288,35,35,Using campaign budget,0,308,26.818182,117,2.632479,0,16,0,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,8.26,,,75,,,,,,0:00:00,,,,5.194805,8,,,,,,,4.237288,0,24.350649,,0.110133,,,0,,,,,0,,,,,,,,,,,,,,,,1,,1,,,,,,,8.26,1.0325,,27/05/2025,27/05/2025,,1,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click"
30/05/2025,30/05/2025,MANDURAH: Rory Lowe Traffic,unknown,active,4.07,,,,,,5,Daily,638,6.37931,548,1.164234,0,52,0,7-day click or 1-day view,39,actions:landing_page_view,0.10435897,,,183,,,,,,0:00:00,,,,8.15047,39,,,,,,,,0,28.683386,,0.02224,,,0,,,,,0,,,,,,,,,,,,,,,,40,,40,,,,,,,0.10175,0.104359,,5/05/2025,22/05/2025,,39,actions:landing_page_view,1-day click
30/05/2025,30/05/2025,NEWCASTLE: Rory Lowe Traffic,unknown,active,5.13,,,,,,5,Daily,792,6.477273,723,1.095436,0,62,0,7-day click or 1-day view,53,actions:landing_page_view,0.09679245,,,207,,,,,,0:00:00,,,,7.828283,53,,,,,,,,0,26.136364,,0.024783,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.096792,,5/05/2025,22/05/2025,,53,actions:landing_page_view,1-day click
30/05/2025,30/05/2025,PERTH: Rory Lowe Traffic,unknown,active,3.73,,,,,,5,Daily,583,6.397942,556,1.048561,0,53,0,7-day click or 1-day view,44,actions:landing_page_view,0.08477273,,,229,,,,,,0:00:00,,,,9.090909,44,,,,,,,,0,39.279588,,0.016288,,,0,,,,,0,,,,,,,,,,,,,,,,46,,46,,,,,,,0.081087,0.084773,,5/05/2025,22/05/2025,,44,actions:landing_page_view,1-day click
30/05/2025,30/05/2025,ALL SHOWS Flexible Creative TRAFFIC,unknown,active,22,,,,,,22,Daily,2156,10.204082,2011,1.072103,0,62,0,7-day click or 1-day view,10,actions:landing_page_view,2.2,,,471,,,,,,0:00:00,,,,2.875696,10,,,,,,,,0,21.846011,,0.046709,,,0,,,,,0,,,,,,,,,,,,,,,,6,,6,,,,,,,3.666667,2.2,,14/02/2025,22/05/2025,,10,actions:landing_page_view,1-day click
